userId,movieId
0,27
0,39
0,42
0,49
0,51
0,52
0,70
1,9
1,36
1,37
1,43
1,57
1,60
1,67
2,35
2,36
2,42
2,43
2,57
2,64
2,68
2,70
3,5
3,9
3,10
3,15
3,24
3,31
3,36
3,43
3,49
3,50
3,51
3,57
3,60
3,64
3,67
3,72
4,10
4,29
4,30
4,37
4,44
4,64
4,70
5,9
5,11
5,24
5,31
5,36
5,43
5,61
5,64
5,68
6,0
6,14
6,24
6,42
6,44
6,68
7,9
7,12
7,27
7,53
7,69
7,70
8,0
8,28
8,39
8,50
8,60
8,66
8,70
8,73
9,15
9,21
9,27
9,28
9,35
9,52
9,67
10,8
10,14
10,44
10,69
10,70
10,71
11,17
11,22
11,40
11,50
11,61
11,73
12,36
12,40
12,42
12,51
12,52
12,54
13,0
13,2
13,11
13,33
13,49
13,62
13,70
14,12
14,31
14,44
14,52
14,63
14,73
15,9
15,12
15,15
15,19
15,50
15,56
15,73
16,11
16,25
16,64
16,68
16,70
16,72
17,0
17,4
17,12
17,16
17,19
17,21
17,26
17,27
17,42
17,57
17,67
17,71
18,10
18,16
18,42
18,44
18,46
18,56
18,63
18,73
19,5
19,11
19,14
19,24
19,42
19,44
19,57
19,64
19,72
20,2
20,49
20,51
20,62
20,64
20,67
21,15
21,21
21,27
21,28
21,35
21,52
21,67
22,8
22,16
22,27
22,42
22,51
22,55
23,0
23,4
23,8
23,11
23,12
23,15
23,19
23,21
23,22
23,25
23,28
23,33
23,35
23,36
23,40
23,42
23,46
23,47
23,50
23,51
23,52
23,54
23,56
23,57
23,61
23,63
23,64
23,66
23,67
23,69
23,72
23,73
24,24
24,40
24,45
24,57
24,63
24,69
25,10
25,27
25,37
25,40
25,42
25,44
25,49
25,64
26,2
26,31
26,63
26,64
26,70
26,72
27,5
27,9
27,28
27,31
27,43
27,51
27,58
28,12
28,13
28,35
28,53
28,63
28,72
28,73
29,2
29,5
29,9
29,10
29,15
29,37
29,62
29,64
30,4
30,15
30,19
30,21
30,32
30,33
30,51
30,58
30,70
31,4
31,14
31,19
31,24
31,33
31,40
31,51
31,54
31,60
31,65
31,66
31,73
31,75
32,0
32,5
32,9
32,42
32,49
32,51
32,57
32,74
33,10
33,27
33,31
33,42
33,43
33,49
34,22
34,24
34,33
34,35
34,40
34,42
34,44
34,45
34,46
34,52
34,57
34,72
35,16
35,38
35,42
35,46
35,67
35,68
36,0
36,14
36,37
36,43
36,44
36,46
36,47
36,62
36,64
36,66
37,2
37,10
37,14
37,20
37,33
37,35
37,42
37,49
37,51
37,60
37,64
37,72
38,12
38,16
38,17
38,18
38,21
38,38
38,40
38,69
39,4
39,10
39,14
39,25
39,31
39,33
39,36
39,49
39,55
39,61
39,62
39,64
39,68
39,71
40,7
40,19
40,20
40,31
40,42
40,46
40,47
40,50
40,52
40,61
40,69
40,73
41,8
41,12
41,26
41,36
41,56
41,61
41,69
42,7
42,11
42,15
42,20
42,21
42,47
42,49
42,62
42,74
43,0
43,5
43,8
43,11
43,12
43,29
43,39
43,50
43,53
43,67
44,4
44,9
44,12
44,19
44,33
44,46
44,52
44,55
44,61
45,8
45,9
45,12
45,19
45,35
45,50
45,53
45,73
46,2
46,7
46,21
46,24
46,31
46,37
46,41
46,43
46,46
46,47
46,49
46,60
46,71
46,72
47,36
47,37
47,40
47,47
47,49
47,50
47,58
47,70
48,11
48,15
48,19
48,24
48,42
48,58
48,63
48,65
48,73
49,11
49,12
49,25
49,35
49,44
49,53
49,64
50,9
50,19
50,25
50,49
50,51
50,53
50,58
50,71
51,17
51,22
51,23
51,40
51,41
51,45
51,46
52,4
52,8
52,11
52,14
52,42
52,44
52,47
52,52
52,58
52,63
52,73
53,4
53,7
53,9
53,10
53,15
53,19
53,20
53,24
53,49
53,51
53,52
53,58
53,65
54,2
54,4
54,19
54,40
54,44
54,60
55,2
55,3
55,8
55,12
55,13
55,33
55,40
56,11
56,12
56,24
56,32
56,35
56,50
56,57
57,16
57,19
57,20
57,22
57,62
57,70
58,4
58,8
58,9
58,36
58,51
58,56
59,4
59,9
59,10
59,11
59,15
59,23
59,25
59,27
59,32
59,33
59,35
59,39
59,44
59,45
59,46
59,50
59,51
59,52
59,56
59,59
59,62
59,64
59,69
59,70
59,71
59,72
59,73
60,15
60,25
60,50
60,51
60,57
60,58
60,72
61,4
61,9
61,10
61,18
61,25
61,49
61,55
61,56
61,58
61,60
61,64
62,3
62,22
62,25
62,27
62,32
62,33
62,41
62,45
62,62
63,2
63,4
63,9
63,10
63,11
63,19
63,21
63,30
63,31
63,33
63,36
63,37
63,42
63,43
63,44
63,46
63,49
63,51
63,54
63,58
63,60
63,64
63,67
63,71
63,72
64,11
64,28
64,43
64,46
64,49
64,60
64,64
64,68
64,71
64,72
65,8
65,10
65,11
65,12
65,14
65,25
65,44
65,47
65,64
65,70
66,2
66,7
66,9
66,11
66,21
66,28
66,37
66,51
66,67
66,71
67,23
67,40
67,42
67,46
67,52
67,69
67,72
68,5
68,15
68,19
68,25
68,39
68,52
68,58
69,9
69,37
69,43
69,49
69,54
69,71
70,9
70,13
70,26
70,32
70,47
70,51
70,63
71,4
71,12
71,35
71,38
71,50
71,53
71,59
71,73
72,4
72,7
72,9
72,11
72,27
72,42
72,51
72,57
72,64
73,7
73,11
73,15
73,35
73,62
73,67
74,3
74,9
74,26
74,40
74,50
74,73
75,5
75,24
75,27
75,42
75,43
75,51
75,63
75,66
76,4
76,12
76,15
76,19
76,21
76,51
76,57
76,73
77,0
77,2
77,4
77,6
77,7
77,8
77,9
77,10
77,12
77,14
77,15
77,19
77,20
77,21
77,25
77,26
77,27
77,28
77,31
77,32
77,33
77,34
77,35
77,39
77,40
77,42
77,44
77,45
77,46
77,47
77,49
77,50
77,51
77,52
77,53
77,55
77,56
77,57
77,58
77,60
77,62
77,63
77,64
77,65
77,66
77,67
77,68
77,69
77,70
77,71
77,72
77,73
78,24
78,39
78,42
78,47
78,52
78,57
78,64
78,72
79,7
79,19
79,33
79,39
79,56
79,63
80,10
80,30
80,33
80,35
80,42
80,43
80,44
80,47
80,49
80,52
80,57
80,62
80,64
80,68
80,72
81,9
81,16
81,26
81,36
81,58
81,71
81,72
82,4
82,7
82,14
82,15
82,35
82,39
82,66
83,8
83,17
83,22
83,41
83,45
83,61
84,5
84,21
84,26
84,27
84,37
84,66
85,26
85,28
85,32
85,46
85,52
85,59
85,62
85,68
85,70
86,24
86,30
86,38
86,40
86,50
86,73
87,8
87,10
87,15
87,16
87,22
87,23
87,29
87,33
88,2
88,5
88,21
88,24
88,35
88,36
88,37
88,40
88,41
88,42
88,43
88,47
88,49
88,51
88,52
88,60
88,62
88,64
88,71
88,72
89,17
89,32
89,35
89,42
89,46
89,50
90,8
90,27
90,35
90,46
90,62
90,70
91,2
91,8
91,15
91,17
91,25
91,49
91,51
91,72
92,12
92,16
92,20
92,40
92,46
92,50
92,52
92,62
92,73
93,5
93,11
93,19
93,33
93,51
93,70
93,71
94,0
94,10
94,39
94,56
94,63
94,67
94,72
95,12
95,25
95,29
95,35
95,53
95,69
96,12
96,18
96,32
96,58
96,69
96,70
97,4
97,11
97,16
97,17
97,33
97,41
97,44
97,56
97,69
98,0
98,4
98,9
98,15
98,39
98,55
98,56
98,67
98,68
98,69
98,73
99,27
99,33
99,35
99,40
99,42
99,46
99,49
99,51
