Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
alitamovie,3.5775096332922662,3.3739040337426505,14.744304711451486,15.655278959135911,0.2673263193152564,0.2696369020701653,7.953447280453775,7.762304041620457,0.08143718108267206,0.2025779811397912,0.5080688028845813,0.5324294866876527,0.532736255273041,0.5517663198215872,0.4185774034185927,0.576084890154573
avengers,4.154327266823811,4.276482558134478,14.351750892921267,15.82770841523942,0.2627411998693503,0.26814156391658595,8.040896503249371,8.08369328164729,0.24920091488261764,0.4194584051870698,0.4693266569883136,0.5485009464676687,0.5197168802718237,0.5457565534117668,0.4684148700951018,0.8424727722242542
brightburnmovie,4.087503030405384,3.9030519580791254,13.19978896657794,14.211541968541743,0.2075671531564025,0.2645344584359853,7.5872765105315265,7.665585139486174,0.22976551145840415,0.3297268364608951,0.3556365719333815,0.3978645376262413,0.3630510370009531,0.5312595907668265,0.20989603427061354,0.4959181008323626
captainmarvelofficial,3.8755020928072814,3.7370511130982913,15.021622607862358,16.048248935465892,0.3794836910346744,0.3437300103811567,8.299381867440312,8.220001349600963,0.16810638941874856,0.2898385246091272,0.5354380192703062,0.5690566460608744,0.8512053592502131,0.8495466395845355,0.6157261361350796,0.9554535849240108
captivestatemovie,3.5644898214475083,3.623191767601447,15.159701511527913,16.961092540469018,0.3950260915789848,0.3629997148443964,7.683305244381317,7.483381223342429,0.07765045175701613,0.2624792838718845,0.5490653813758052,0.6541391465499193,0.8953377626680072,0.9269916123708885,0.2646229794649999,0.34489588452455605
clarathefilm,3.4415086074644017,2.9491151503477195,14.645103318882676,16.11498614499989,0.15708921477510845,0.2007756503116478,7.940695455761896,7.7873236884166595,0.04188214918495603,0.10050554015927893,0.4982783623319876,0.575276954371841,0.21971971993762332,0.2750128398371837,0.41131011598218414,0.5968227677500249
freaksthefilm,3.743409263573333,3.594541077906513,15.763483149959464,17.5051932019179,0.2660455378674588,0.30578373510643725,7.978876098986954,7.882537836323588,0.12968803160120113,0.25559481502805603,0.6086541440407186,0.7048525924678055,0.5290994963706384,0.6970404990985579,0.4330693320573705,0.6757423208809215
geminimanmovie,3.80666248977032,3.6668733671692304,14.466176296161963,15.252616126111345,0.24019338199395435,0.2615082224028025,7.9296629842094815,8.01974422571068,0.14808482945346169,0.27297552722501306,0.4806195943062802,0.4948988949192898,0.4556927038371098,0.5190971433519214,0.40502269093967497,0.7894677196285693
glassmovie,3.9851286201018454,3.750988143972901,13.333587482091264,14.869819720179342,0.2066960342579812,0.27805972591586564,7.509169172329477,7.246596805476228,0.19999056645032973,0.293187451139461,0.3688414915241006,0.4592199733423537,0.3605775085044771,0.585617662210304,0.16538252413989252,0.14863387034756226
lucyintheskyfilm,3.668288472670009,3.6533891839853614,15.15932010353096,16.40360585714831,0.15667761566265134,0.21586998989730224,8.024380336322428,7.826102466895058,0.1078396281625128,0.2697354153812052,0.5490277392397044,0.6021780430856432,0.21855099069109696,0.3356770145612441,0.4590022773637852,0.6289650904589239
spidermanmovie,3.7293130236924266,3.6548576677764957,15.639444730780985,16.535409379651494,0.25113204911942033,0.27142640893401004,8.337721386983484,8.117971574042674,0.12558823003916852,0.2700882770754742,0.5964124734576947,0.6144629221233799,0.4867528781684647,0.5589583507443152,0.6375758961048437,0.8708848052823894
terminator,3.6915931599855334,3.8045024712835356,13.684809399350598,14.494731199760606,0.2649444477476516,0.2646021254105433,7.8152866225817155,7.836602546299328,0.11461764799376473,0.30604639879452034,0.4035044857891291,0.424259472937848,0.5259729681854881,0.531531544444849,0.3398394002370475,0.6376682253673387
xmenmovies,3.7268805722925498,3.5250281394645606,15.382260043396945,16.515193877122403,0.31954898418828703,0.2796268524054261,7.990810356686818,7.7413441741056275,0.12488076704669415,0.2388915641101135,0.5710302552481642,0.6125787160070302,0.6810216959395755,0.59191594605624,0.439870686619618,0.5587120163294559
